id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
3928,LaSalle Thompson,thompla01,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin,0,Right,Kansas City Kings,"1st round (5th pick,5th overall)",1982 NBA Draft
3929,Mychal Thompson,thompmy01,1979,1991,C-F,6-10,226,"January 30, 1955",University of Minnesota,0,Right,Portland Trail Blazers,"1st round (1st pick,1st overall)",1978 NBA Draft
3930,Mychel Thompson,thompmy02,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine University,0,Right,,,
3931,Paul Thompson,thomppa01,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane University,0,Right,Cleveland Cavaliers,"3rd round (3rd pick,50th overall)",1983 NBA Draft
3932,Stephen Thompson,thompst01,1992,1992,G,6-4,185,"December 2, 1968",Syracuse University,0,Right,,,
3933,Tristan Thompson,thomptr01,2012,2017,F-C,6-9,238,"March 13, 1991",University of Texas at Austin,1,Left Right,Cleveland Cavaliers,"1st round (4th pick,4th overall)",2011 NBA Draft
3934,Skip Thoren,thoresk01,1968,1970,C,6-10,230,"April 5, 1943",University of Illinois at Urbana-Champaign,0,Right,Baltimore Bullets,"4th round (4th pick,30th overall)",1965 NBA Draft
3935,Rod Thorn,thornro01,1964,1971,G,6-4,195,"May 23, 1941",West Virginia University,0,Right,Baltimore Bullets,"1st round (2nd pick,2nd overall)",1963 NBA Draft
3936,Al Thornton,thornal01,2008,2011,F,6-8,220,"December 7, 1983",Florida State University,0,Right,Los Angeles Clippers,"1st round (14th pick,14th overall)",2007 NBA Draft
3937,Bob Thornton,thornbo01,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",0,Right,New York Knicks,"4th round (17th pick,87th overall)",1984 NBA Draft
3938,Dallas Thornton,thornda01,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,0,Right,Baltimore Bullets,"4th round (4th pick,40th overall)",1968 NBA Draft
3939,Marcus Thornton,thornma01,2010,2017,G,6-4,205,"June 5, 1987",Louisiana State University,1,Right,Miami Heat,"2nd round (13th pick,43rd overall)",2009 NBA Draft
3940,Otis Thorpe,thorpot01,1985,2001,F-C,6-9,225,"August 5, 1962",Providence College,0,Right,Kansas City Kings,"1st round (9th pick,9th overall)",1984 NBA Draft
3941,Sedale Threatt,threase01,1984,1997,G,6-2,175,"September 10, 1961",West Virginia University Institute of Technology,0,Right,Philadelphia 76ers,"6th round (23rd pick,139th overall)",1983 NBA Draft
3942,Nate Thurmond*,thurmna01,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green State University,0,Right,San Francisco Warriors,"1st round (3rd pick,3rd overall)",1963 NBA Draft
3943,Mel Thurston,thursme01,1948,1948,G,6-0,175,"January 16, 1919",Canisius College,0,Right,,,
3944,Hal Tidrick,tidriha01,1949,1949,F-G,6-1,190,"August 4, 1915",Washington & Jefferson College,0,Right,,,
3945,Dan Tieman,tiemada01,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,0,Right,,,
3946,Darren Tillis,tillida01,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,0,Right,Boston Celtics,"1st round (23rd pick,23rd overall)",1982 NBA Draft
3947,Jack Tingle,tinglja01,1948,1949,F,6-4,205,"December 30, 1924",University of Kentucky,0,Right,Washington Capitols,,
3948,George Tinsley,tinslge01,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,0,Right,Chicago Bulls,"6th round (5th pick,76th overall)",1969 NBA Draft
3949,Jamaal Tinsley,tinslja01,2002,2014,G,6-3,195,"February 28, 1978",Iowa State University,0,Right,Memphis Grizzlies,"1st round (27th pick,27th overall)",2001 NBA Draft
3950,Wayman Tisdale,tisdawa01,1986,1997,F-C,6-9,240,"June 9, 1964",University of Oklahoma,0,Left,Indiana Pacers,"1st round (2nd pick,2nd overall)",1985 NBA Draft
3951,Mike Tobey,tobeymi01,2017,2017,C,7-0,260,"October 10, 1994",University of Virginia,1,Right,,,
3952,Mike Todorovich,todormi01,1950,1951,F-C,6-5,220,"June 11, 1923",University of Wyoming,0,Right,,,
3953,Ray Tolbert,tolbera01,1982,1989,F,6-9,225,"September 10, 1958",Indiana University,0,Right,New Jersey Nets,"1st round (18th pick,18th overall)",1981 NBA Draft
3954,Tom Tolbert,tolbeto01,1989,1995,F-C,6-7,235,"October 16, 1965",University of Arizona,0,Right,Charlotte Hornets,"2nd round (9th pick,34th overall)",1988 NBA Draft
3955,Anthony Tolliver,tollian01,2009,2017,F-C,6-8,240,"June 1, 1985",Creighton University,1,Right,,,
3956,Dean Tolson,tolsode01,1975,1978,F,6-8,190,"November 25, 1951",University of Arkansas,0,Right,Seattle SuperSonics,"5th round (8th pick,80th overall)",1974 NBA Draft
3957,Rudy Tomjanovich,tomjaru01,1971,1981,F,6-8,218,"November 24, 1948",University of Michigan,0,Right,San Diego Rockets,"1st round (2nd pick,2nd overall)",1970 NBA Draft
3958,Andrew Toney,toneyan01,1981,1988,G,6-3,178,"November 23, 1957",University of Louisiana at Lafayette,0,Right,Philadelphia 76ers,"1st round (8th pick,8th overall)",1980 NBA Draft
3959,Sedric Toney,toneyse01,1986,1994,G,6-2,178,"April 13, 1962",University of Dayton,0,Right,Atlanta Hawks,"3rd round (12th pick,59th overall)",1985 NBA Draft
3960,Andy Tonkovich,tonkoan01,1949,1949,G,6-1,185,"November 1, 1922",Marshall University,0,Right,Providence Steam Rollers,"1st round (1st pick,1st overall)",1948 BAA Draft
3961,Andy Toolson,toolsan01,1991,1996,G-F,6-6,210,"January 19, 1966",Brigham Young University,0,Right,,,
3962,Jack Toomay,toomaja01,1948,1950,C-F,6-6,215,"August 9, 1922",University of the Pacific,0,Right,,,
3963,Bernard Toone,toonebe01,1980,1980,F,6-9,210,"July 14, 1956",Marquette University,0,Right,Philadelphia 76ers,"2nd round (15th pick,37th overall)",1979 NBA Draft
3964,Irv Torgoff,torgoir01,1947,1949,F,6-2,192,"March 6, 1917",Long Island University,0,Right,,,
3965,Gene Tormohlen,tormobu01,1963,1970,C-F,6-8,230,"May 12, 1937",University of Tennessee,0,Right,Syracuse Nationals,"2nd round (5th pick,11th overall)",1959 NBA Draft
3966,Oscar Torres,torreos01,2002,2003,F,6-6,210,"December 18, 1976",,0,Right,,,
3967,Bill Tosheff,toshebi01,1952,1954,G,6-1,175,"June 2, 1926",Indiana University,0,Right,Indianapolis Olympians,"4th round (3rd pick,32nd overall)",1951 NBA Draft
3968,Bob Tough,toughbo01,1949,1950,G-F,6-0,185,"August 28, 1920",St. John's University,0,Right,,,
3969,Axel Toupane,toupaax01,2016,2017,G-F,6-7,197,"July 23, 1992",,1,Right,,,
3970,Monte Towe,towemo01,1976,1977,G,5-7,150,"September 27, 1953",North Carolina State University,0,Right,Atlanta Hawks,"4th round (3rd pick,57th overall)",1975 NBA Draft
3971,Keith Tower,towerke01,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame,0,Right,,,
3972,Blackie Towery,towerbl01,1949,1950,F-C,6-4,210,"June 20, 1920",Western Kentucky University,0,Right,,,
3973,Linton Townes,towneli01,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University,0,Right,Portland Trail Blazers,"2nd round (10th pick,33rd overall)",1982 NBA Draft
3974,Karl-Anthony Towns,townska01,2016,2017,C-F,7-0,244,"November 15, 1995",University of Kentucky,1,Right,Minnesota Timberwolves,"1st round (1st pick,1st overall)",2015 NBA Draft
3975,Raymond Townsend,townsra01,1979,1982,G,6-3,175,"December 20, 1955","University of California, Los Angeles",0,Right,Golden State Warriors,"1st round (22nd pick,22nd overall)",1978 NBA Draft
3976,George Trapp,trappge01,1972,1977,F-C,6-8,205,"July 11, 1948","California State University, Long Beach",0,Right,Atlanta Hawks,"1st round (5th pick,5th overall)",1971 NBA Draft
3977,John Trapp,trappjo01,1969,1973,F,6-7,210,"October 2, 1945","University of Nevada, Las Vegas",0,Right,San Diego Rockets,"2nd round (1st pick,15th overall)",1968 NBA Draft
3978,Robert Traylor,traylro01,1999,2005,F,6-8,284,"February 1, 1977",University of Michigan,0,Right,Dallas Mavericks,"1st round (6th pick,6th overall)",1998 NBA Draft
3979,Gary Trent,trentga01,1996,2004,F,6-8,250,"September 22, 1974",Ohio University,0,Right,Milwaukee Bucks,"1st round (11th pick,11th overall)",1995 NBA Draft
3980,Jeff Trepagnier,trepaje01,2002,2004,G,6-4,200,"July 11, 1979",University of Southern California,0,Left,Cleveland Cavaliers,"2nd round (7th pick,36th overall)",2001 NBA Draft
3981,John Tresvant,tresvjo01,1965,1973,F-C,6-7,215,"November 6, 1939",Seattle University,0,Right,St. Louis Hawks,"5th round (6th pick,40th overall)",1964 NBA Draft
3982,Dick Triptow,triptdi01,1949,1950,G-F,6-0,170,"November 3, 1922",DePaul University,0,Right,,,
3983,Kelly Tripucka,tripuke01,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame,0,Right,Detroit Pistons,"1st round (12th pick,12th overall)",1981 NBA Draft
3984,Ansley Truitt,truitan01,1973,1973,C,6-9,215,"August 24, 1950",University of California,0,Right,New York Knicks,"3rd round (11th pick,41st overall)",1972 NBA Draft
3985,Cezary Trybanski,trybace01,2003,2004,C,7-2,240,"September 22, 1979",,0,Right,,,
3986,Jake Tsakalidis,tsakaja01,2001,2007,C,7-2,285,"June 10, 1979",,0,Right,Phoenix Suns,"1st round (25th pick,25th overall)",2000 NBA Draft
3987,John Tschogl,tschojo01,1973,1975,F,6-6,206,"April 25, 1950","University of California, Santa Barbara",0,Right,,,
3988,Lou Tsioropoulos,tsiorlo01,1957,1959,F,6-5,190,"August 31, 1930",University of Kentucky,0,Right,Boston Celtics,7th round,1953 NBA Draft
3989,Nikoloz Tskitishvili,tskitni01,2003,2006,F,7-0,225,"April 14, 1983",,0,Right,Denver Nuggets,"1st round (5th pick,5th overall)",2002 NBA Draft
3990,Al Tucker,tuckeal01,1968,1972,F,6-8,190,"February 24, 1943",Oklahoma Baptist University,0,Right,Seattle SuperSonics,"1st round (6th pick,6th overall)",1967 NBA Draft
3991,Alando Tucker,tuckeal02,2008,2010,F,6-6,205,"February 11, 1984",University of Wisconsin,0,Right,Phoenix Suns,"1st round (29th pick,29th overall)",2007 NBA Draft
3992,Anthony Tucker,tuckean01,1995,1995,F,6-8,220,"April 4, 1969",Wake Forest University,0,Right,,,
3993,Jim Tucker,tuckeji01,1955,1957,F,6-7,185,"December 11, 1932",Duquesne University,0,Right,Syracuse Nationals,"3rd round (6th pick,24th overall)",1954 NBA Draft
3994,P.J. Tucker,tuckepj01,2007,2017,F,6-6,245,"May 5, 1985",University of Texas at Austin,1,Right,Toronto Raptors,"2nd round (5th pick,35th overall)",2006 NBA Draft
3995,Trent Tucker,tucketr01,1983,1993,G,6-5,193,"December 20, 1959",University of Minnesota,0,Right,New York Knicks,"1st round (6th pick,6th overall)",1982 NBA Draft
3996,Ronny Turiaf,turiaro01,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga University,0,Right,Los Angeles Lakers,"2nd round (7th pick,37th overall)",2005 NBA Draft
3997,Mirsad Turkcan,turkcmi01,2000,2000,F,6-9,236,"June 7, 1976",,0,Right,Houston Rockets,"1st round (18th pick,18th overall)",1998 NBA Draft
3998,Hedo Turkoglu,turkohe01,2001,2015,F,6-10,220,"March 19, 1979",,0,Right,Sacramento Kings,"1st round (16th pick,16th overall)",2000 NBA Draft
3999,Andre Turner,turnean01,1987,1992,G,5-11,160,"December 13, 1964",University of Memphis,0,Right,Los Angeles Lakers,"3rd round (22nd pick,69th overall)",1986 NBA Draft
4000,Bill Turner,turnebi01,1968,1973,F,6-7,220,"February 18, 1944",University of Akron,0,Right,San Francisco Warriors,"3rd round (8th pick,27th overall)",1967 NBA Draft
4001,Elston Turner,turneel01,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi,0,Right,Dallas Mavericks,"2nd round (20th pick,43rd overall)",1981 NBA Draft
4002,Evan Turner,turneev01,2011,2017,G,6-7,220,"October 27, 1988",Ohio State University,1,Right,Philadelphia 76ers,"1st round (2nd pick,2nd overall)",2010 NBA Draft
4003,Gary Turner,turnega01,1968,1968,F,6-7,200,,Texas Christian University,0,Right,Boston Celtics,"3rd round (8th pick,28th overall)",1966 NBA Draft
4004,Henry Turner,turnehe02,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton",0,Right,,,
4005,Herschell Turner,turnehe01,1968,1968,G,6-2,195,"March 29, 1938",University of Nebraska,0,Right,Syracuse Nationals,"6th round (5th pick,45th overall)",1960 NBA Draft
4006,Jack Turner,turneja01,1955,1955,F-G,6-4,170,"June 29, 1930",Western Kentucky University,0,Right,New York Knicks,"1st round (8th pick,8th overall)",1954 NBA Draft
4007,Jack Turner,turneja02,1962,1962,G-F,6-5,200,"June 5, 1939",University of Louisville,0,Right,Chicago Packers,"2nd round (9th pick,18th overall)",1961 NBA Draft
4008,Jeff Turner,turneje01,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt University,0,Left,New Jersey Nets,"1st round (17th pick,17th overall)",1984 NBA Draft
4009,John Turner,turnejo01,1992,1992,F,6-8,245,"November 30, 1967",Phillips University,0,Right,Houston Rockets,"1st round (20th pick,20th overall)",1991 NBA Draft
4010,Myles Turner,turnemy01,2016,2017,C-F,6-11,243,"March 24, 1996",University of Texas at Austin,1,Right,Indiana Pacers,"1st round (11th pick,11th overall)",2015 NBA Draft
4011,Wayne Turner,turnewa01,2000,2000,G,6-2,190,"March 22, 1976",University of Kentucky,0,Right,,,
4012,Melvin Turpin,turpime01,1985,1990,C,6-11,240,"December 28, 1960",University of Kentucky,0,Right,Washington Bullets,"1st round (6th pick,6th overall)",1984 NBA Draft
4013,Dave Twardzik,twardda01,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion University,0,Left,Portland Trail Blazers,"2nd round (13th pick,26th overall)",1972 NBA Draft
4014,Jack Twyman*,twymaja01,1956,1966,F-G,6-6,210,"May 11, 1934",University of Cincinnati,0,Right,Rochester Royals,"2nd round (2nd pick,8th overall)",1955 NBA Draft
4015,B.J. Tyler,tylerbj01,1995,1995,G,6-1,185,"April 30, 1971",University of Texas at Austin,0,Right,Philadelphia 76ers,"1st round (20th pick,20th overall)",1994 NBA Draft
4016,Jeremy Tyler,tylerje01,2012,2014,C,6-10,260,"June 21, 1991",,0,Right,Charlotte Bobcats,"2nd round (9th pick,39th overall)",2011 NBA Draft
4017,Terry Tyler,tylerte01,1979,1989,F-G,6-7,215,"October 30, 1956",University of Detroit Mercy,0,Right,Detroit Pistons,"2nd round (1st pick,23rd overall)",1978 NBA Draft
4018,Charlie Tyra,tyrach01,1958,1962,C-F,6-8,230,"August 16, 1935",University of Louisville,0,Right,Detroit Pistons,"1st round (2nd pick,2nd overall)",1957 NBA Draft
4019,Edwin Ubiles,ubileed01,2012,2012,G,6-6,204,"November 26, 1986",Siena College,0,Right,,,
4020,Ekpe Udoh,udohek01,2011,2015,C-F,6-10,240,"May 20, 1987",Baylor University,1,Right,Golden State Warriors,"1st round (6th pick,6th overall)",2010 NBA Draft
4021,Ime Udoka,udokaim01,2004,2011,F,6-6,215,"August 9, 1977",Portland State University,0,Right,,,
4022,Beno Udrih,udrihbe01,2005,2017,G,6-3,205,"July 5, 1982",,1,Left,San Antonio Spurs,"1st round (28th pick,28th overall)",2004 NBA Draft
4023,Roko Ukic,ukicro01,2009,2010,G,6-5,183,"May 12, 1984",,0,Right,Toronto Raptors,"2nd round (11th pick,41st overall)",2005 NBA Draft
4024,Tyler Ulis,ulisty01,2017,2017,G,5-10,150,"January 5, 1996",University of Kentucky,1,Right,Phoenix Suns,"2nd round (4th pick,34th overall)",2016 NBA Draft
4025,Wes Unseld*,unselwe01,1969,1981,C-F,6-7,245,"March 14, 1946",University of Louisville,0,Right,Baltimore Bullets,"1st round (2nd pick,2nd overall)",1968 NBA Draft
4026,Hal Uplinger,uplinha01,1954,1954,G,6-4,185,"September 30, 1929",Long Island University,0,Right,,,
4027,Kelvin Upshaw,upshake01,1989,1991,G,6-2,180,"January 24, 1963",University of Utah,0,Right,,,
4028,Jarrod Uthoff,uthofja01,2017,2017,F,6-9,221,"May 19, 1993",University of Iowa,1,Right,,,
4029,Ben Uzoh,uzohbe01,2011,2012,G,6-3,205,"March 19, 1988",University of Tulsa,0,Right,,,
4030,Stephen Vacendak,vacenst01,1968,1970,G,6-1,185,"August 15, 1944",Duke University,0,Right,San Francisco Warriors,"4th round (3rd pick,33rd overall)",1966 NBA Draft
4031,Jonas Valanciunas,valanjo01,2013,2017,C,7-0,265,"May 6, 1992",,1,Right,Toronto Raptors,"1st round (5th pick,5th overall)",2011 NBA Draft
4032,Darnell Valentine,valenda01,1982,1991,G,6-1,183,"February 3, 1959",University of Kansas,0,Right,Portland Trail Blazers,"1st round (16th pick,16th overall)",1981 NBA Draft
4033,Denzel Valentine,valende01,2017,2017,G,6-6,212,"November 16, 1993",Michigan State University,1,Right,Chicago Bulls,"1st round (14th pick,14th overall)",2016 NBA Draft
4034,Ronnie Valentine,valenro01,1981,1981,F,6-7,210,"November 27, 1957",Old Dominion University,0,Right,Denver Nuggets,"3rd round (5th pick,51st overall)",1980 NBA Draft
4035,John Vallely,vallejo01,1971,1972,G,6-3,185,"October 3, 1948","University of California, Los Angeles",0,Right,Atlanta Hawks,"1st round (14th pick,14th overall)",1970 NBA Draft
4036,Dick Van Arsdale,vanardi01,1966,1977,G-F,6-5,210,"February 22, 1943",Indiana University,0,Right,New York Knicks,"2nd round (2nd pick,10th overall)",1965 NBA Draft
4037,Tom Van Arsdale,vanarto01,1966,1977,F-G,6-5,202,"February 22, 1943",Indiana University,0,Right,Detroit Pistons,"2nd round (3rd pick,11th overall)",1965 NBA Draft
4038,Butch Van Breda Kolff,vanbrbu01,1947,1950,G-F,6-3,185,"October 28, 1922",New York University,0,Right,,,
4039,Jan Van Breda Kolff,vanbrja01,1975,1983,F-G,6-7,195,"December 16, 1951",Vanderbilt University,0,Right,Portland Trail Blazers,"2nd round (2nd pick,20th overall)",1974 NBA Draft
4040,Nick Van Exel,vanexni01,1994,2006,G,6-1,170,"November 27, 1971",University of Cincinnati,0,Left,Los Angeles Lakers,"2nd round (10th pick,37th overall)",1993 NBA Draft
4041,Keith Van Horn,vanhoke01,1998,2006,F,6-10,220,"October 23, 1975",University of Utah,0,Right,Philadelphia 76ers,"1st round (2nd pick,2nd overall)",1997 NBA Draft
4042,Norm Van Lier,vanlino01,1970,1979,G,6-1,173,"April 1, 1947",Saint Francis University,0,Right,Chicago Bulls,"3rd round (5th pick,34th overall)",1969 NBA Draft
4043,Dennis Van Zant,vanzade01,1976,1976,F,6-9,210,"June 1, 1952",Azusa Pacific University,0,Right,Los Angeles Lakers,"7th round (12th pick,120th overall)",1974 NBA Draft
4044,Gene Vance,vancege01,1948,1952,G-F,6-3,195,"February 25, 1923",University of Illinois at Urbana-Champaign,0,Right,Chicago Stags,,
4045,Logan Vander Velden,vandelo01,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay,0,Right,,,
4046,Ernie Vandeweghe,vandeer01,1950,1956,F-G,6-3,195,"September 12, 1928",Colgate University,0,Right,New York Knicks,3rd round,1949 BAA Draft
4047,Kiki Vandeweghe,vandeki01,1981,1993,F,6-8,220,"August 1, 1958","University of California, Los Angeles",0,Right,Dallas Mavericks,"1st round (11th pick,11th overall)",1980 NBA Draft
4048,Nick Vanos,vanosni01,1986,1987,C,7-1,255,"April 13, 1963",Santa Clara University,0,Right,Phoenix Suns,"2nd round (8th pick,32nd overall)",1985 NBA Draft
4049,David Vanterpool,vanteda01,2001,2001,G,6-5,200,"March 31, 1973",St. Bonaventure University,0,Right,,,
4050,Fred VanVleet,vanvlfr01,2017,2017,G,6-0,195,"February 25, 1994",Wichita State University,1,Right,,,
4051,Ratko Varda,vardara01,2002,2002,C,7-1,260,"May 6, 1979",,0,Right,,,
4052,Anderson Varejao,varejan01,2005,2017,F-C,6-10,273,"September 28, 1982",,1,Right,Orlando Magic,"2nd round (1st pick,30th overall)",2004 NBA Draft
4053,Jarvis Varnado,varnaja01,2013,2014,F,6-9,230,"March 1, 1988",Mississippi State University,0,Right,Miami Heat,"2nd round (11th pick,41st overall)",2010 NBA Draft
4054,Greivis Vasquez,vasqugr01,2011,2017,G,6-6,217,"January 16, 1987",University of Maryland,1,Right,Memphis Grizzlies,"1st round (28th pick,28th overall)",2010 NBA Draft
4055,Chico Vaughn,vaughch01,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois University,0,Right,St. Louis Hawks,"4th round (1st pick,26th overall)",1962 NBA Draft
4056,David Vaughn,vaughda01,1975,1976,C,6-11,220,"June 4, 1952",Oral Roberts University,0,Right,New York Knicks,"4th round (9th pick,63rd overall)",1975 NBA Draft
4057,David Vaughn,vaughda02,1996,1999,F,6-9,240,"March 23, 1973",University of Memphis,0,Right,Orlando Magic,"1st round (25th pick,25th overall)",1995 NBA Draft
4058,Jacque Vaughn,vaughja01,1998,2009,G,6-1,190,"February 11, 1975",University of Kansas,0,Right,Utah Jazz,"1st round (27th pick,27th overall)",1997 NBA Draft
4059,Rashad Vaughn,vaughra01,2016,2017,G,6-6,202,"August 16, 1996","University of Nevada, Las Vegas",1,Right,Milwaukee Bucks,"1st round (17th pick,17th overall)",2015 NBA Draft
4060,Virgil Vaughn,vaughvi01,1947,1947,F-C,6-4,205,"May 15, 1918",Western Kentucky University,0,Right,,,
4061,Loy Vaught,vaughlo01,1991,2001,F,6-9,230,"February 27, 1968",University of Michigan,0,Right,Los Angeles Clippers,"1st round (13th pick,13th overall)",1990 NBA Draft
4062,Bob Verga,vergabo01,1968,1974,G,6-1,190,"September 7, 1945",Duke University,0,Right,St. Louis Hawks,"3rd round (6th pick,25th overall)",1967 NBA Draft
4063,Pete Verhoeven,verhope01,1982,1987,F,6-9,215,"February 15, 1959","California State University, Fresno",0,Right,Portland Trail Blazers,"4th round (16th pick,85th overall)",1981 NBA Draft
4064,Jan Vesely,veselja01,2012,2014,F,6-11,240,"April 24, 1990",,0,Right,Washington Wizards,"1st round (6th pick,6th overall)",2011 NBA Draft
4065,Gundars Vetra,vetragu01,1993,1993,F,6-6,195,"May 22, 1967",,0,Right,,,
4066,Joao Vianna,viannjo01,1992,1992,F,6-9,215,"November 15, 1966",,0,Right,,,
4067,Charlie Villanueva,villach01,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut,0,Right,Toronto Raptors,"1st round (7th pick,7th overall)",2005 NBA Draft
4068,Jay Vincent,vinceja01,1982,1990,F,6-7,220,"June 10, 1959",Michigan State University,0,Right,Dallas Mavericks,"2nd round (1st pick,24th overall)",1981 NBA Draft
4069,Sam Vincent,vincesa01,1986,1992,G,6-2,185,"May 18, 1963",Michigan State University,0,Right,Boston Celtics,"1st round (20th pick,20th overall)",1985 NBA Draft
4070,Marcus Vinicius,vincima01,2007,2008,F,6-8,225,"May 31, 1984",,0,Right,New Orleans/Oklahoma City Hornets,"2nd round (13th pick,43rd overall)",2006 NBA Draft
4071,Fred Vinson,vinsofr01,1995,2000,G,6-4,190,"January 28, 1971",Georgia Institute of Technology,0,Right,,,
4072,Claude Virden,virdecl01,1973,1973,F,6-6,195,"November 25, 1947",Murray State University,0,Right,Seattle SuperSonics,"9th round (6th pick,142nd overall)",1970 NBA Draft
4073,Gary Voce,vocega01,1990,1990,F,6-9,240,"November 24, 1965",University of Notre Dame,0,Right,,,
4074,Floyd Volker,volkefl01,1950,1950,F-C,6-4,205,"June 21, 1921",University of Wyoming,0,Right,,,
4075,Alexander Volkov,volkoal01,1990,1992,C,6-10,218,"March 28, 1964",,0,Right,Atlanta Hawks,"6th round (18th pick,134th overall)",1986 NBA Draft
4076,Whitey Von Nieda,vonniwh01,1950,1950,G-F,6-1,170,"June 19, 1922",Pennsylvania State University,0,Right,,,
4077,Noah Vonleh,vonleno01,2015,2017,F,6-10,240,"August 24, 1995",Indiana University,1,Right,Charlotte Hornets,"1st round (9th pick,9th overall)",2014 NBA Draft
4078,Jake Voskuhl,voskuja01,2001,2009,C,6-11,245,"November 1, 1977",University of Connecticut,0,Right,Chicago Bulls,"2nd round (4th pick,33rd overall)",2000 NBA Draft
4079,Danny Vranes,vraneda01,1982,1988,F,6-7,210,"October 29, 1958",University of Utah,0,Right,Seattle SuperSonics,"1st round (5th pick,5th overall)",1981 NBA Draft
4080,Slavko Vranes,vranesl01,2004,2004,C,7-5,275,"January 30, 1983",,0,Right,New York Knicks,"2nd round (10th pick,39th overall)",2003 NBA Draft
4081,Stojko Vrankovic,vrankst01,1991,1999,C,7-2,260,"January 22, 1964",,0,Right,,,
4082,Brett Vroman,vromabr01,1981,1981,C,7-0,220,"December 25, 1955","University of Nevada, Las Vegas",0,Right,Philadelphia 76ers,"4th round (21st pick,87th overall)",1978 NBA Draft
4083,Jackson Vroman,vromaja01,2005,2006,F-C,6-10,220,"June 6, 1981",Iowa State University,0,Right,Chicago Bulls,"2nd round (2nd pick,31st overall)",2004 NBA Draft
4084,Nikola Vucevic,vucevni01,2012,2017,C,7-0,260,"October 24, 1990",University of Southern California,1,Right,Philadelphia 76ers,"1st round (16th pick,16th overall)",2011 NBA Draft
4085,Sasha Vujacic,vujacsa01,2005,2017,G,6-7,195,"March 8, 1984",,1,Right,Los Angeles Lakers,"1st round (27th pick,27th overall)",2004 NBA Draft
4086,Dwyane Wade,wadedw01,2004,2017,G,6-4,220,"January 17, 1982",Marquette University,1,Right,Miami Heat,"1st round (5th pick,5th overall)",2003 NBA Draft
4087,Mark Wade,wadema01,1988,1990,G,5-11,160,"October 15, 1965","University of Nevada, Las Vegas",0,Left,,,
4088,Von Wafer,wafervo01,2006,2012,G,6-5,210,"July 21, 1985",Florida State University,0,Right,Los Angeles Lakers,"2nd round (9th pick,39th overall)",2005 NBA Draft
4089,Clint Wager,wagercl01,1950,1950,C-F,6-6,210,"January 20, 1920",Saint Mary's University of Minnesota,0,Right,,,
4090,Dajuan Wagner,wagneda02,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis,0,Right,Cleveland Cavaliers,"1st round (6th pick,6th overall)",2002 NBA Draft
4091,Danny Wagner,wagneda01,1950,1950,G,6-0,170,"August 1, 1922",University of Texas at Austin,0,Right,,,
4092,Milt Wagner,wagnemi01,1988,1991,G,6-5,185,"February 20, 1963",University of Louisville,0,Right,Dallas Mavericks,"2nd round (11th pick,35th overall)",1986 NBA Draft
4093,Phillip Wagner,wagneph01,1969,1969,G,6-2,190,"December 18, 1945",Georgia Institute of Technology,0,Right,,,
4094,Dion Waiters,waitedi01,2013,2017,G,6-4,225,"December 10, 1991",Syracuse University,1,Right,Cleveland Cavaliers,"1st round (4th pick,4th overall)",2012 NBA Draft
4095,Granville Waiters,waitegr01,1984,1988,C,6-11,225,"January 8, 1961",Ohio State University,0,Right,Portland Trail Blazers,"2nd round (15th pick,39th overall)",1983 NBA Draft
4096,Andre Wakefield,wakefan01,1979,1980,G,6-3,175,"January 11, 1955",Loyola University of Chicago,0,Right,Phoenix Suns,"5th round (19th pick,107th overall)",1978 NBA Draft
4097,Neal Walk,walkne01,1970,1977,C,6-10,220,"July 29, 1948",University of Florida,0,Left,Phoenix Suns,"1st round (2nd pick,2nd overall)",1969 NBA Draft
4098,Andy Walker,walkean01,1977,1977,G,6-4,190,"March 25, 1955",Niagara University,0,Right,New Orleans Jazz,"7th round (7th pick,111th overall)",1976 NBA Draft
4099,Antoine Walker,walkean02,1997,2008,F,6-8,224,"August 12, 1976",University of Kentucky,0,Right,Boston Celtics,"1st round (6th pick,6th overall)",1996 NBA Draft
